id,symbol,name,shares,avg_price,current_price,updated_at,account_id,linked_account_id
9,2330,台積電,52,1926.6731,2290.0,2026-07-18 00:37:24,10,28
10,0050,元大台灣50,767,71.0613,100.15,2026-07-18 00:37:24,10,29
11,00888,永豐台灣ESG,1000,38.415,34.43000030517578,2026-07-18 00:37:24,10,30
12,00923,群益台ESG低碳50,1950,19.0979,39.07,2026-07-18 00:37:24,10,31
13,2454,聯發科,4,4207.25,3370.0,2026-07-18 00:37:24,10,32
14,00690,兆豐藍籌30,212,55.8302,72.55,2026-07-18 00:37:24,10,33
15,2464,盟立,29,179.5862,143.0,2026-07-18 00:37:24,10,34
16,8046,南電,4,1250.5,1150.0,2026-07-18 00:37:24,10,35
17,6239,力成,13,357.9231,288.0,2026-07-18 00:37:24,10,36
18,3026,禾伸堂,4,1010.5,690.0,2026-07-18 00:37:24,10,37
19,8096,擎亞,15,152.0667,128.0,2026-07-18 00:37:24,10,38
20,1303,南亞,10,181.1,199.0,2026-07-18 00:37:24,10,39
21,2327,國巨*,1,1001.0,699.0,2026-07-18 00:37:24,10,40
